Time,Cells_avg,Cells_std,Biomass_avg(g/L),Biomass_std(g/L),Glucose_avg,Glucose_std,Gln_avg,Gln_std,Lac_avg,Lac_std,NH4_avg,NH4_std,pH_avg,pH_std
0,100000,0,0.035224,0,16.03333333,0.152752523,5.37,0.065574385,1.4,0,3.823333333,0.015275252,7.956666667,0.040414519
30,133666.6667,9018.499506,0.047082747,0.003176676,15.13333333,0.152752523,4.753333333,0.005773503,2.533333333,0.057735027,4.23,0.034641016,7.743333333,0.047258156
42,248333.3333,12583.05739,0.087472933,0.004432256,14.3,0.1,4.473333333,0.057735027,3.966666667,0.057735027,4.446666667,0.028867513,7.74,0.055677644
48,336666.6667,25658.0072,0.118587467,0.009037776,13.8,0.1,4.35,0.03,4.933333333,0.057735027,4.6,0.03,7.69,0.07
54,385000,77620.87348,0.1356124,0.027341176,13.26666667,0.057735027,4.236666667,0.011547005,6.233333333,0.057735027,4.806666667,0.015275252,7.59,0.01
66,541666.6667,23094.01077,0.190796667,0.008134634,11.73333333,0.152752523,3.813333333,0.060277138,8.9,0,5.146666667,0.037859389,7.463333333,0.047258156
72,751666.6667,50083.264,0.264767067,0.017641329,11.06666667,0.152752523,3.583333333,0.032145503,10.13333333,0.057735027,5.363333333,0.032145503,7.406666667,0.005773503
78,891666.6667,28431.20352,0.314080667,0.010014607,10.66666667,0.115470054,3.39,0.06,11.26666667,0.115470054,5.633333333,0.015275252,7.376666667,0.030550505
90,1133333.333,76376.26158,0.399205333,0.026902774,9.966666667,0.115470054,2.973333333,0.056862407,12.2,0.173205081,6.073333333,0.005773503,7.35,0.065574385
99,1116666.667,160727.5127,0.393334667,0.056614659,9.6,0.1,2.626666667,0.056862407,12.56666667,0.057735027,6.376666667,0.032145503,7.286666667,0.030550505
